data,produto,produto_id,classificacao,unidade,menor,comum,maior
"2026-02-20","PANGASIUS","pangasius","-","KG",14.77,15.47,15.77
"2026-02-20","PINTADO","pintado","-","KG",27.00,28.00,28.00
"2026-02-20","TAMBAQUI","tambaqui","-","KG",12.19,13.19,14.20
"2026-02-20","TILÁPIA","tilapia","-","KG",10.00,11.00,12.00
"2026-02-20","TRUTA","truta","-","KG",38.00,39.00,40.00
"2026-02-23","FILE DE TILAPIA","file-de-tilapia","-","KG",39.70,40.88,42.15
"2026-02-23","PINTADO","pintado","-","KG",25.00,26.00,27.00
"2026-02-23","TAMBAQUI","tambaqui","-","KG",13.24,14.12,15.00
"2026-02-23","TILÁPIA","tilapia","-","KG",12.01,12.49,13.00
"2026-02-25","FILE DE TILAPIA","file-de-tilapia","-","KG",39.75,40.75,41.14
"2026-02-25","PANGASIUS","pangasius","-","KG",9.00,9.50,10.00
"2026-02-25","TILÁPIA","tilapia","-","KG",11.45,12.46,12.80
"2026-02-25","TRUTA","truta","-","KG",38.60,39.60,40.60
"2026-02-27","FILE DE TILAPIA","file-de-tilapia","-","KG",41.31,43.31,43.79
"2026-02-27","TILÁPIA","tilapia","-","KG",12.75,13.40,13.55
"2026-02-27","TRUTA","truta","-","KG",40.34,42.67,43.33
"2026-03-11","FILE DE TILAPIA","file-de-tilapia","-","KG",43.00,44.01,44.25
"2026-03-11","TILÁPIA","tilapia","-","KG",12.00,13.00,13.00
"2026-03-13","FILE DE TILAPIA","file-de-tilapia","-","KG",41.05,43.03,43.49
"2026-03-13","PINTADO","pintado","-","KG",24.50,26.00,27.50
"2026-03-13","TAMBAQUI","tambaqui","-","KG",12.42,12.92,13.06
"2026-03-13","TILÁPIA","tilapia","-","KG",11.68,12.69,12.90
"2026-03-13","TRUTA","truta","-","KG",36.35,38.81,40.81
"2026-03-16","FILE DE TILAPIA","file-de-tilapia","-","KG",39.23,40.24,41.15
"2026-03-16","PINTADO","pintado","-","KG",25.50,27.00,27.50
"2026-03-16","TAMBAQUI","tambaqui","-","KG",11.50,12.50,13.50
"2026-03-16","TILÁPIA","tilapia","-","KG",10.66,11.66,12.66
"2026-03-16","TRUTA","truta","-","KG",38.81,39.81,40.81
"2026-03-18","FILE DE TILAPIA","file-de-tilapia","-","KG",39.64,41.30,43.24
"2026-03-18","TILÁPIA","tilapia","-","KG",12.00,12.98,12.99
"2026-03-18","TRUTA","truta","-","KG",39.67,41.34,42.00
"2026-03-20","FILE DE TILAPIA","file-de-tilapia","-","KG",34.39,37.03,37.85
"2026-03-20","PANGASIUS","pangasius","-","KG",8.00,9.00,10.00
"2026-03-20","TILÁPIA","tilapia","-","KG",11.38,12.26,12.83
"2026-03-20","TRUTA","truta","-","KG",39.00,40.67,42.00
"2026-03-23","FILE DE TILAPIA","file-de-tilapia","-","KG",38.52,39.53,40.53
"2026-03-23","PANGASIUS","pangasius","-","KG",9.00,9.50,10.00
"2026-03-23","TILÁPIA","tilapia","-","KG",11.21,11.82,12.32
"2026-03-23","TRUTA","truta","-","KG",14.21,14.68,15.15
"2026-03-25","FILE DE TILAPIA","file-de-tilapia","-","KG",42.54,42.82,43.10
"2026-03-25","PANGASIUS","pangasius","-","KG",28.00,28.00,28.00
"2026-03-25","PINTADO","pintado","-","KG",26.00,26.50,27.00
"2026-03-25","TAMBAQUI","tambaqui","-","KG",14.68,14.84,15.00
"2026-03-25","TILÁPIA","tilapia","-","KG",14.22,14.23,14.24
"2026-03-27","FILE DE TILAPIA","file-de-tilapia","-","KG",41.62,42.29,42.97
"2026-03-27","PANGASIUS","pangasius","-","KG",9.80,9.90,10.00
"2026-03-27","PINTADO","pintado","-","KG",23.78,24.28,25.00
"2026-03-27","TAMBAQUI","tambaqui","-","KG",13.41,13.70,14.15
"2026-03-27","TILÁPIA","tilapia","-","KG",12.83,13.50,14.15
"2026-03-27","TRUTA","truta","-","KG",39.76,40.45,41.14
"2026-03-30","FILE DE TILAPIA","file-de-tilapia","-","KG",41.74,42.60,43.45
"2026-03-30","PANGASIUS","pangasius","-","KG",9.00,9.50,10.00
"2026-03-30","PINTADO","pintado","-","KG",25.00,26.00,27.00
"2026-03-30","TAMBAQUI","tambaqui","-","KG",14.58,15.14,15.70
"2026-03-30","TILÁPIA","tilapia","-","KG",13.57,13.86,14.15
"2026-03-30","TRUTA","truta","-","KG",39.07,39.76,40.76
"2026-03-31","FILE DE TILAPIA","file-de-tilapia","-","KG",44.28,45.05,45.85
"2026-03-31","PINTADO","pintado","-","KG",28.00,28.50,29.00
"2026-03-31","TAMBAQUI","tambaqui","-","KG",14.13,14.52,15.10
"2026-03-31","TILÁPIA","tilapia","-","KG",14.10,14.54,15.24
"2026-03-31","TRUTA","truta","-","KG",39.40,40.10,40.80
"2026-04-01","FILE DE TILAPIA","file-de-tilapia","-","KG",42.35,43.87,44.52
