data;categoria;produto;classificacao;unidade_peso;menor;comum;maior;quilo;coletado_em
17/08/2026;PESCADOS;FILE DE TILAPIA;-;KG;40,9;41,41;41,94;1,0;18/08/2026 09:30:27
17/08/2026;PESCADOS;PANGASIUS;-;KG;9,0;9,5;10,0;1,0;18/08/2026 09:30:27
17/08/2026;PESCADOS;PINTADO;-;KG;24,86;25,09;25,43;1,0;18/08/2026 09:30:27
17/08/2026;PESCADOS;TAMBAQUI;-;KG;11,41;11,58;11,73;1,0;18/08/2026 09:30:27
17/08/2026;PESCADOS;TILÁPIA;-;KG;12,07;12,26;12,44;1,0;18/08/2026 09:30:27
17/08/2026;PESCADOS;TRUTA;-;KG;37,43;38,16;38,87;1,0;18/08/2026 09:30:27
