data;categoria;produto;classificacao;unidade_peso;menor;comum;maior;quilo;coletado_em
31/07/2026;PESCADOS;FILE DE TILAPIA;-;KG;42,49;42,85;43,27;1,0;04/08/2026 23:11:38
31/07/2026;PESCADOS;PANGASIUS;-;KG;8,8;8,9;9,0;1,0;04/08/2026 23:11:38
31/07/2026;PESCADOS;PINTADO;-;KG;25,0;25,75;26,5;1,0;04/08/2026 23:11:38
31/07/2026;PESCADOS;TAMBAQUI;-;KG;12,8;12,9;13,0;1,0;04/08/2026 23:11:38
31/07/2026;PESCADOS;TILÁPIA;-;KG;12,31;12,52;12,78;1,0;04/08/2026 23:11:38
31/07/2026;PESCADOS;TRUTA;-;KG;37,5;38,25;39,0;1,0;04/08/2026 23:11:38
