data;categoria;produto;classificacao;unidade_peso;menor;comum;maior;quilo;coletado_em
14/09/2026;PESCADOS;FILE DE TILAPIA;-;KG;40,52;41,53;42,06;1,0;14/09/2026 20:46:43
14/09/2026;PESCADOS;PANGASIUS;-;KG;8,0;9,0;10,0;1,0;14/09/2026 20:46:43
14/09/2026;PESCADOS;PINTADO;-;KG;26,0;27,0;28,0;1,0;14/09/2026 20:46:43
14/09/2026;PESCADOS;TAMBAQUI;-;KG;12,34;13,33;14,1;1,0;14/09/2026 20:46:43
14/09/2026;PESCADOS;TILÁPIA;-;KG;10,75;11,76;12,08;1,0;14/09/2026 20:46:43
14/09/2026;PESCADOS;TRUTA;-;KG;34,2;35,2;36,2;1,0;14/09/2026 20:46:43
