data;categoria;produto;classificacao;unidade_peso;menor;comum;maior;quilo;coletado_em
23/01/2026;PESCADOS;PANGASIUS;-;KG;10,0;10,0;10,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
23/01/2026;PESCADOS;PINTADO;-;KG;28,0;28,0;28,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
23/01/2026;PESCADOS;TAMBAQUI;-;KG;17,0;17,0;17,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
23/01/2026;PESCADOS;TILÁPIA;-;KG;12,22;12,22;12,22;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
23/01/2026;PESCADOS;TRUTA;-;KG;40,79;40,79;40,79;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
26/01/2026;PESCADOS;FILE DE TILAPIA;-;KG;42,63;42,63;42,63;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
26/01/2026;PESCADOS;PANGASIUS;-;KG;26,0;26,0;26,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
26/01/2026;PESCADOS;TAMBAQUI;-;KG;15,0;15,0;15,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
26/01/2026;PESCADOS;TILÁPIA;-;KG;12,11;12,11;12,11;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
30/01/2026;PESCADOS;FILE DE TILAPIA;-;KG;42,26;42,26;42,26;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
30/01/2026;PESCADOS;TILÁPIA;-;KG;12,2;12,2;12,2;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
30/01/2026;PESCADOS;TRUTA;-;KG;42,0;42,0;42,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
