data;categoria;produto;classificacao;unidade_peso;menor;comum;maior;quilo;coletado_em
24/07/2026;PESCADOS;FILE DE TILAPIA;-;KG;41,56;42,01;42,51;1,0;04/08/2026 23:11:29
24/07/2026;PESCADOS;PANGASIUS;-;KG;9,0;9,5;10,0;1,0;04/08/2026 23:11:29
24/07/2026;PESCADOS;PINTADO;-;KG;24,0;24,5;25,0;1,0;04/08/2026 23:11:29
24/07/2026;PESCADOS;TAMBAQUI;-;KG;12,82;12,94;13,05;1,0;04/08/2026 23:11:29
24/07/2026;PESCADOS;TILÁPIA;-;KG;12,65;12,74;12,86;1,0;04/08/2026 23:11:29
24/07/2026;PESCADOS;TRUTA;-;KG;36,4;37,95;39,0;1,0;04/08/2026 23:11:29
