data;categoria;produto;classificacao;unidade_peso;menor;comum;maior;quilo;coletado_em
11/09/2026;PESCADOS;FILE DE TILAPIA;-;KG;41,01;41,66;42,3;1,0;11/09/2026 20:06:49
11/09/2026;PESCADOS;PANGASIUS;-;KG;9,0;9,5;10,0;1,0;11/09/2026 20:06:49
11/09/2026;PESCADOS;PINTADO;-;KG;25,67;26,5;27,33;1,0;11/09/2026 20:06:49
11/09/2026;PESCADOS;TAMBAQUI;-;KG;12,28;12,93;13,57;1,0;11/09/2026 20:06:49
11/09/2026;PESCADOS;TILÁPIA;-;KG;12,18;12,49;12,93;1,0;11/09/2026 20:06:49
11/09/2026;PESCADOS;TRUTA;-;KG;37,6;38,4;39,2;1,0;11/09/2026 20:06:49
