data;categoria;produto;classificacao;unidade_peso;menor;comum;maior;quilo;coletado_em
27/07/2026;PESCADOS;FILE DE TILAPIA;-;KG;41,75;42,0;42,26;1,0;04/08/2026 23:11:32
27/07/2026;PESCADOS;PANGASIUS;-;KG;9,0;9,5;10,0;1,0;04/08/2026 23:11:32
27/07/2026;PESCADOS;PINTADO;-;KG;23,0;24,0;25,0;1,0;04/08/2026 23:11:32
27/07/2026;PESCADOS;TAMBAQUI;-;KG;12,71;12,81;12,91;1,0;04/08/2026 23:11:32
27/07/2026;PESCADOS;TILÁPIA;-;KG;12,07;12,16;12,26;1,0;04/08/2026 23:11:32
27/07/2026;PESCADOS;TRUTA;-;KG;36,3;36,4;36,5;1,0;04/08/2026 23:11:32
