data;categoria;produto;classificacao;unidade_peso;menor;comum;maior;quilo;coletado_em
20/07/2026;PESCADOS;FILE DE TILAPIA;-;KG;42,03;42,75;43,47;1,0;04/08/2026 23:11:23
20/07/2026;PESCADOS;PANGASIUS;-;KG;9,8;9,9;10,0;1,0;04/08/2026 23:11:23
20/07/2026;PESCADOS;PINTADO;-;KG;24,0;24,5;25,0;1,0;04/08/2026 23:11:23
20/07/2026;PESCADOS;TAMBAQUI;-;KG;13,0;13,5;14,0;1,0;04/08/2026 23:11:23
20/07/2026;PESCADOS;TILÁPIA;-;KG;12,22;12,39;12,54;1,0;04/08/2026 23:11:23
20/07/2026;PESCADOS;TRUTA;-;KG;38,0;39,0;40,0;1,0;04/08/2026 23:11:23
