data;categoria;produto;classificacao;unidade_peso;menor;comum;maior;quilo;coletado_em
03/08/2026;PESCADOS;FILE DE TILAPIA;-;KG;42,52;43,41;44,34;1,0;04/08/2026 23:40:10
03/08/2026;PESCADOS;PANGASIUS;-;KG;9,8;9,9;10,0;1,0;04/08/2026 23:40:10
03/08/2026;PESCADOS;PINTADO;-;KG;25,5;26,0;26,5;1,0;04/08/2026 23:40:10
03/08/2026;PESCADOS;TAMBAQUI;-;KG;13,0;13,3;13,5;1,0;04/08/2026 23:40:10
03/08/2026;PESCADOS;TILÁPIA;-;KG;11,83;12,11;12,34;1,0;04/08/2026 23:40:10
03/08/2026;PESCADOS;TRUTA;-;KG;38,0;38,5;39,0;1,0;04/08/2026 23:40:10
